"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"LOC107986489",10.7934262776826,-4.39723645157234,1.00625685695928,2.04036649686716e-06,1.90798883138677e-05,"LOC107986489"
"HLA-DOA",241.885997115744,-4.38823919382991,0.416687780640359,4.98880359357348e-27,6.07009776780847e-25,"HLA-DOA"
"ABCD2",353.272541059779,-4.3761177598787,0.404353614237925,3.03947561769108e-28,4.2406763818026e-26,"ABCD2"
"LINC01876",5.28417487524126,-4.37349082295971,1.56584015194435,0.00013962170386336,0.000843290914416275,"LINC01876"
"CTLA4",60.9347684698737,-4.36714306528571,0.399039344714695,1.72100877306469e-28,2.55441642572326e-26,"CTLA4"
"LOC107986860",5.47324495650668,-4.36675047302551,1.69184738592605,0.000307516476367439,0.00169628487543958,"LOC107986860"
"ANAPC1P1",174.448718796958,-4.36492371266306,0.270834668592925,8.12481109443561e-60,6.29763135497587e-57,"ANAPC1P1"
"LINC00563",2.3406537609442,-4.35454430323512,2.79384107251105,0.00211843853635989,0.00925181170470364,"LINC00563"
"TRAJ32",4.89911403165552,-4.34714847243968,1.45806789605089,7.04783067239779e-05,0.000456647059789291,"TRAJ32"
"DSEL",109.779877238855,-4.34480667330392,0.561219259086434,6.55862766663206e-16,2.59468733095039e-14,"DSEL"
"TRPV6",2.43727889414072,-4.34297794587004,2.88283553555348,0.00256019590253195,0.010899060180673,NA
"TRAJ37",4.87688057811471,-4.34131546434934,1.45985596205909,7.07092231723881e-05,0.000457983457354451,"TRAJ37"
"RIC3",373.513180644469,-4.33537415177528,0.304909825174128,2.83082226909968e-47,1.20904996832078e-44,"RIC3"
"LINC01976",2.23552784552608,-4.32624847222598,2.72961155713897,0.0018946653132969,0.00840268138408314,"LINC01976"
"ACVR1C",48.4492957082035,-4.3132577526118,0.519793077333883,8.61246265812884e-18,4.30170927229882e-16,"ACVR1C"
"TRBV12-5",8.30960190218499,-4.29931026825754,1.27257980945867,5.11776736974487e-05,0.000342844543898914,"TRBV12-5"
"LOC105372989",17.7161465584198,-4.2985922646391,0.7107753755374,3.05180185090198e-10,5.61724794509029e-09,"LOC105372989"
"FAM172BP",13.1056971870333,-4.29416066947258,0.98516471824129,1.87470320818456e-06,1.76881049582794e-05,"FAM172BP"
"RGMB",90.6347259788265,-4.28315688828328,0.404995400084074,1.52761345746104e-27,1.96134321703954e-25,"RGMB"
"FAM149A",5.16332806379172,-4.2822369754674,1.47013110394306,6.68842978702743e-05,0.000434706393114627,"FAM149A"
"BTBD19",14.9509127977497,-4.27099298402761,0.802565114822082,2.05949178035603e-08,2.79513903886453e-07,"BTBD19"
"GCAWKR",11.3429501197736,-4.2693495951796,1.11790192360034,1.05197547442001e-05,8.38375579918582e-05,"GCAWKR"
"CDS1",2.20435979177896,-4.26101487115424,2.77897249890547,0.00234108806038294,0.0100998332153565,NA
